계정,좋아요,댓글,날짜,요일,본문,해시태그,주요 키워드,URL
health.helpstudy,23218,25,2024-09-01,Sunday,"{1만 팔로워 이벤트}

프로필 링크에서 무료로 pdf 다운받으실 수 있습니다.

제가 선정해서 정리한 어휘장이기에
2차 가공이나 상업적 이용은 금합니다😄

*99번 침노하다 ‘남의 나라를 불법으로 쳐들어가거나 쳐들어오다
‘로 수정해주세요🍀

#국어#수능#공부#06#07#08","#국어, #수능, #공부, #06, #07, #08","팔로워, 이벤트, 프로필",https://www.instagram.com/health.helpstudy/p/C_XOIL_Sr6h/
health.helpstudy,33798,45,2024-11-01,Friday,"여러분들의 요청이 가장 많았던 주제 들고왔습니다☺️
예비 고1들은 저장해놓고 이번 겨울방학부터 실천해보자🍀

#공부#입시","#공부, #입시","여러분들의, 요청이, 가장",https://www.instagram.com/health.helpstudy/p/DB1JAYhSxOz/
health.helpstudy,31802,61,2025-01-30,Thursday,"☀️순공 9시간 루틴 (오전/오후 ver)

1️⃣오전 버전은 저녁 7시 20분이면 공부가 끝나고

2️⃣오후 버전은 오후 1시 50분에 시작하는 루틴이라, 공부 외에도 투자할 수 있는 시간이 많이 남는 점이 특징입니다!👍

이 루틴은 국어 3시간, 수학 3시간, 영어 1시간, 탐구 2시간으로 구성되어 있어, 제가 가장 추천하는 루틴 중 하나예요. 😊

✔️예비 중3 친구들은 7시간 루틴+탐구 1시간 공부 추천

✔️9시간 루틴은 예비 고1-고2 친구들에게 추천⭐️

✔️예비 고3 친구들은 내일 올라오는 10시간 루틴 추천합니다⏰

📍이 시간표는 예시일 뿐! 본인의 상황에 맞춰 변형해서 사용하시면 됩니다~ (본인에게 부족한 과목이 있다면, 해당 과목 시간을 늘려서 조절하기)

#공부#공스타#08#09#10#11#국어#영어#순공","#공부, #공스타, #08, #09, #10, #11, #국어, #영어, #순공","시간, 루틴, 오후",https://www.instagram.com/health.helpstudy/p/DFcQzfaBOPG/
health.helpstudy,2049,3,2025-06-09,Monday,"고대생이 알려주는 기말고사 전과목 공부플랜🔥중간고사 역전시켜보자!

저장하고 좋아요 누르기☁️

#기말#공부#공스타#중등#고등","#기말, #공부, #공스타, #중등, #고등","고대생이, 알려주는, 기말고사",https://www.instagram.com/health.helpstudy/p/DKqmXVGBcsD/
health.helpstudy,701,0,2025-06-04,Wednesday,"6월 모의고사 끝! 공부 시작☁️

오늘 시험 보느라 정말 수고 많았어요 👏
시험은 끝났지만, 우리에겐 아직 공부가 남아있죠…..😄

6모 끝난 당일 해야 할 공부 목록 바탕으로 오늘 꼭 복습해보기!

#6월모의고사 #공스타 #수능 #공부루틴","#6월모의고사, #공스타, #수능, #공부루틴","공부, 오늘, 모의고사",https://www.instagram.com/health.helpstudy/p/DKeKIbPBCGm/
health.helpstudy,1276,3,2025-06-02,Monday,"6모 D-1 순공 11시간 공부루틴🍀
무료 한국사 PDF 정리본 프로필 링크에서 받아가요😄

고1•고2 친구들은 탐구 공부시간에 본인이 부족한 과목 공부해줘도 좋아요! (특히 사탐 선택자 친구들)

다음날 시험이니깐 너무 무리하게 공부하지는 말고 할 수 있는 만큼만 공부하기:) 모두 내일 시험 화이팅

#모의고사#공부#루틴#공스타","#모의고사, #공부, #루틴, #공스타","순공, 시간, 공부루틴",https://www.instagram.com/health.helpstudy/p/DKY-njfB2sz/
health.helpstudy,1230,5,2025-06-01,Sunday,"고대생이 알려주는 6모 D-2 하루 루틴🕖

오랜만에 돌아온 타임라인 시리즈입니다:)
또 궁금한 루틴이 있다면 댓글로 남겨주세요!

#6모#공부#고등#공스타#루틴","#6모, #공부, #고등, #공스타, #루틴","루틴, 고대생이, 알려주는",https://www.instagram.com/health.helpstudy/p/DKW23JNBGL8/
health.helpstudy,5418,0,2025-05-23,Friday,"고대생의 공부 잘하는 습관 30가지 📑

저장하고 건강한 공부 습관 만들어보자☘️

캡쳐해서 프린트하고 플래너 앞이나 책상에 붙여놓기! (동그라미에 직접 체크하면서 지켜나가도록 노력해보자📝)

도움이 되셨다면 저장•좋아요 부탁드려요☁️

#공부#공스타#중등#고등#꿀팁","#공부, #공스타, #중등, #고등, #꿀팁","공부, 습관, 고대생의",https://www.instagram.com/health.helpstudy/p/DJ_laFkBSNh/
health.helpstudy,2244,11,2025-05-18,Sunday,"완벽한 고등생활을 위한 과목별 중등 공부 체크리스트 📑

#중등#고등#10#11#12#공부","#중등, #고등, #10, #11, #12, #공부","중등, 공부, 완벽한",https://www.instagram.com/health.helpstudy/p/DJys-q1hxja/
health.helpstudy,383,2,2025-05-17,Saturday,"🏫자사고? 일반고?🧐
자사고생이 알려주는 고등학교 선택 체크리스트📑

➡️ 결론! 비교하지 않고 묵묵히 자신의 공부페이스를 유지할 수 있다면 자사고 추천⭐️ 

저는 1학년 땐 낮아진 등급을 받아들이기가 힘들어서 방황을 좀 했었지만😅 요령을 터득하고 수행평가나 세특을 열심히 준비하면서 만족하면서 다녔습니다. 특히 학습 분위기가 잘 형성되어있어서 친구들의 도움도 많이 받고 저도 덩달아 열심히 공부할 수 있었어요:) 

수행평가나 기타 세특에 넣을 수 있는 활동이나 프로그램도 잘 마련되어있다는 것도 장점이었습니다! (다만, 이 활동들도 본인이 적극적으로 참여하지 않으면 당연히 메리트가 없습니다)

게시물에도 써놓았듯이 다같이 열심히하기 때문에 그만큼 등급은 정말 본인의 예상보다 매우 낮게 나올 가능성이 높습니다!! 본인이 유리멘탈이라면, 진지하게 고민해보세요😄

#중학#고등#자사고#일반고","#중학, #고등, #자사고, #일반고","자사고, 일반고, 수행평가나",https://www.instagram.com/health.helpstudy/p/DJwUe41BMqH/
atix__official,5,1,2025-06-13,Friday,"공부 계획은 잘 세우는데… 왜 매번 작심삼일일까?
🔥 진짜 문제는 ‘의지’가 아니라 ‘환경’일지도 몰라요.

🎯 하루 계획 → 실행 → 리포트까지
공부 루틴을 진짜로 지킬 수 있게 도와주는 앱
'하루플래너' 출시 임박!

💡 하루플래너는 이렇게 도와줘요
1️⃣ 실행 유도
– 계획 시간에는 다른 앱 자동 차단
– 미루면 알림 → 계속 미루면 멘토 전화 알림까지
– 집중력 떨어지면 즉시 알림

2️⃣ 명문대생 1:1 피드백 제공 (40분 화상 수업)
– 서울대, 고려대 등 SKY 대학생 멘토에게 주간 피드백 받기
– 주간 루틴 리포트 기반 1:1 맞춤 피드백
– 수행평가, 생기부, 진로/학과 고민도 함께 코칭

3️⃣ 지속 가능한 보상 설계
– 공부 달성률에 따라 포인트 지급
– 랭킹/칭호/뱃지/리워드로 동기 부여 🎖️

4️⃣ 동기부여 보상 시스템
– 출석/실행률에 따라 포인트 지급
– 랭킹, 칭호, 뱃지 등 성취를 시각화
– 1달 성공 시 구독료 환급 or 리워드 제공

💳 구독제 안내
1. <월 9,900원>
– 기록 무제한 저장
– 광고 제거 / 테마 변경

2. 일반 관리반 <월 49,000원>
– 기본 구독 기능 포함
– 전날 스스로 공부 계획 세우기
– 10분 이상 지연 시 관리자가 직접 전화
– 일별/주별/월별 계획 달성률 확인
– 주간 학습 리포트 생성
– 성실하게 실천하면, 구독료도 돌려받을 수 있어요!

3. 퍼스널 코칭반 <월 99,000원>
– 일반 관리반 기능 모두 포함
– 수행평가, 진로, 과목별 공부법 등 밀착 관리
– 명문대 조교가 공부 기록 확인 후 개별 피드백
– 공부 루틴에 따른 실행력 점검 및 피드백 제공

🎁 하루플래너 출시 임박 이벤트!
현재 하루플래너는
📌 베타 서비스 오픈 임박!
얼리버드 혜택은 지금 신청자만 드립니다.

지금 @atix__official 팔로우하면
✔ 최대 60% 할인 쿠폰
✔ 베타 우선 체험 기회
✔ 무료 1회 멘토링
✔ 출시일 알림 서비스까지!

👉 프로필 링크에서 사전신청하고
🍎 목표는 ‘아이폰’이 아니라 ‘변화’입니다. 지금 신청해서, 이번엔 진짜 달성해봐요.

#하루플래너 #공부앱 #공부루틴 #작심삼일탈출 #공스타그램 #중고등학생 #습관형성 #학습관리 #에이틱스 #자기계발 #공부기록앱 #집중력분석","#하루플래너, #공부앱, #공부루틴, #작심삼일탈출, #공스타그램, #중고등학생, #습관형성, #학습관리, #에이틱스, #자기계발, #공부기록앱, #집중력분석","공부, 피드백, 계획",https://www.instagram.com/atix__official/p/DK1FEU1zbO-/
atix__official,11,0,2025-03-19,Wednesday,"혼자공부하기 힘드시죠😭 이제는 집에서도 함께 공부해보세요! ⬇️
🖥️ https://8ix.co.kr/study_withcam
(프로필에 링크 있습니다)

무료 캠스터디부터

1. 계획 세우고 실천하는 관리반
2. 명문대생 조교가 공부를 피드백해주는 퍼스널 코칭반까지!

최대 -70% 할인 받아보세요!

☎️ 에이틱스 공식채널

#studywithme #캠스터디 #학습관리 #스터디윗미 #공스타그램 #에이틱스 #수능 #합격
12분","#studywithme, #캠스터디, #학습관리, #스터디윗미, #공스타그램, #에이틱스, #수능, #합격","에이틱스, 혼자공부하기, 힘드시죠",https://www.instagram.com/atix__official/p/DHYMHOETkKm/
